Zarlino 1571,0,76,193,310,386,503,579,697,773,890,1007,1083
Andreas Werkmeister III (1645-1706),0,90,192,294,390,498,588,697,792,888,996,1092
Andreas Werkmeister IV (1645-1706),10,92,206,304,402,508,598,704,794,900,1014,1096
Jean Philippe Rameau,0,85,194,290,388,500,585,697,787,891,994,1086
Bachstimmung (Bradley Lehman),5.9,103.9,202.0,303.9,398.0,507.8,602.0,703.9,803.9,900.0,1003.9,1100.0
Johann Georg Neidhardt (1685-1739),6,100,202,302,398,504,598,704,802,900,1002,1098
Francesco Antonio Vallotti (1697-1780),5.86,100.0,201.95,303.91,398.05,507.82,598.05,703.91,801.95,900.0,1005.86,1096.09
Johann Philipp Kirnberger III (1721-1783),10,100,204,304,396,508,600,707,802,900,1006,1098
Thomas Young,6,100,202,304,398,506,598,704,802,900,1006,1098
Sinusstimmung 7c,6.06,96.5,200.0,303.5,393.94,507.0,593.94,703.5,800.0,896.5,1006.06,1093.0
Ron Koval - Variable 5.0 - 2002,5.0,99.35,202.0,303.0,398.0,505.0,598.65,703.35,801.35,900.0,1004.35,1097.5
Wolfgang Wiese 5c - 2006,3.85,98.4,198.95,303.4,395.15,505.0,596.15,701.6,801.05,896.6,1004.85,1095.0
